127.0.0.1 - - [17/Apr/2024:17:33:00 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Apr/2024:17:33:01 +0900] "GET /JSP/C07/03/login.jsp HTTP/1.1" 500 2540
0:0:0:0:0:0:0:1 - - [17/Apr/2024:17:33:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Apr/2024:17:33:23 +0900] "GET /JSP/C07/03/login.jsp HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [17/Apr/2024:17:33:31 +0900] "POST /JSP/C07/03/loginProc.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2024:17:33:31 +0900] "GET /JSP/C07/03/main.jsp HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [17/Apr/2024:17:33:44 +0900] "GET /JSP/C07/03/logoutProc.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2024:17:33:44 +0900] "GET /JSP/C07/03/login.jsp HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [17/Apr/2024:17:33:50 +0900] "POST /JSP/C07/03/loginProc.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2024:17:33:50 +0900] "GET /JSP/C07/03/main.jsp HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [17/Apr/2024:17:33:52 +0900] "GET /JSP/C07/03/logoutProc.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2024:17:33:52 +0900] "GET /JSP/C07/03/login.jsp HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [17/Apr/2024:17:33:58 +0900] "POST /JSP/C07/03/loginProc.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2024:17:33:58 +0900] "GET /JSP/C07/03/main.jsp HTTP/1.1" 200 225
